CT,BLPAD,BLPAN,BLWAD,BLWAN,BLMAD,BLMAN
456004,2593,179,1464,103,1129,77
457100,733,70,416,40,317,29
457200,2006,187,1120,106,886,82
458000,4590,349,2482,174,2108,177
459101,1063,73,560,31,503,43
459102,3291,187,1754,90,1537,95
459201,3176,238,1678,123,1498,113
459202,363,24,223,14,140,11
460001,2715,228,1493,109,1222,117
460002,2087,190,1121,97,966,94
461000,504,47,272,23,232,25
462100,1576,108,870,53,706,55
462600,2081,124,1163,65,918,57
463900,1492,116,836,61,656,49
464300,1778,113,973,56,805,57
464400,2063,103,1203,56,860,39
465600,1354,107,746,64,608,49
465800,1929,113,1053,56,876,59
468700,884,70,481,32,403,38
468800,1104,72,615,39,489,31
468900,1964,132,1128,80,836,54
469000,2782,207,1513,101,1269,108
470300,2264,235,1293,117,971,120
470400,1758,151,978,71,780,83
470501,1434,74,795,38,639,36
470502,1767,153,977,76,790,78
470600,1520,116,834,55,686,63
471000,574,38,311,18,263,20
472100,1246,72,698,37,548,37
472200,1128,54,585,24,543,30
472300,965,55,536,24,429,34
472400,1116,81,606,33,510,50
473100,2791,139,1500,72,1291,69
473200,1831,88,1042,43,789,46
473300,3433,199,1907,108,1526,92
473401,2135,90,1113,47,1022,47
473402,1913,106,1025,57,888,51
473500,2173,76,1136,36,1037,40
473601,2266,130,1219,63,1047,68
473602,2689,189,1486,104,1203,94
474101,2435,124,1263,51,1172,74
474102,2228,109,1154,56,1074,54
474201,1556,69,813,29,743,40
474202,2943,193,1528,99,1415,98
474203,2868,138,1470,45,1398,94
475101,2766,262,1573,150,1193,112
475102,1039,83,528,40,511,45
475200,2976,223,1573,112,1403,112
475301,2674,232,1437,109,1237,124
475303,2519,206,1333,97,1186,111
475304,3119,179,1673,84,1446,95
475401,2411,190,1303,100,1108,90
475402,1888,114,1013,51,875,65
476100,2622,189,1471,99,1151,89
476200,1861,135,1000,73,861,64
477100,2167,176,1189,88,978,90
477200,2707,261,1516,155,1191,106
477300,3665,217,1912,95,1753,124
478100,2328,149,1266,83,1062,68
478200,3310,172,1801,85,1509,91
479000,1179,85,655,43,524,44
480101,2949,226,1585,123,1364,106
480102,1836,152,999,86,837,68
480200,2053,166,1083,78,970,87
480300,2204,162,1201,83,1003,78
480400,2957,269,1607,132,1350,134
481000,2078,105,1140,57,938,44
482500,1156,121,621,67,535,57
483800,1734,165,1015,102,719,58
484300,1893,118,1026,55,867,64
484500,3482,290,1910,159,1572,136
484600,1181,93,675,58,506,35
485000,658,38,377,19,281,21
486700,1331,67,806,39,525,35
486800,981,65,547,31,434,34
486900,834,58,479,38,355,21
487000,976,112,545,63,431,49
488100,1817,117,949,60,868,60
488200,2282,159,1311,84,971,72
488300,1468,106,814,53,654,58
488400,2939,216,1696,133,1243,82
488500,1629,133,877,64,752,77
488600,2964,210,1681,94,1283,122
489001,2698,261,1493,144,1205,119
489002,2300,155,1204,70,1096,86
490002,2761,234,1498,116,1263,118
490003,2165,152,1121,71,1044,81
490004,3089,199,1634,82,1455,116
491101,4142,236,2207,104,1935,150
491200,1178,98,639,50,539,49
492700,1092,78,640,48,452,28
492800,1526,113,917,71,609,41
492900,1139,90,663,50,476,40
494000,822,67,462,37,360,31
495000,988,83,537,37,451,47
496101,1870,143,1014,82,856,60
496102,2624,250,1403,122,1221,128
496200,3294,262,1785,128,1509,134
497000,531,47,290,20,241,27
498000,1492,142,814,71,678,70
499300,906,83,513,50,393,31
499400,1587,155,893,86,694,69
500300,2026,163,1144,78,882,83
501000,794,88,434,45,360,41
503002,3541,356,1991,216,1550,140
504100,2669,261,1516,156,1153,100
507000,1173,91,654,45,519,43
508000,1115,73,660,46,455,23
509400,2921,224,1714,128,1207,95
510000,1171,68,654,40,517,23
512000,1180,115,654,56,526,57
512800,746,48,419,25,327,21
512900,679,47,391,34,288,10
513800,1335,81,786,52,549,28
514000,1171,62,694,37,477,24
515100,1439,83,842,41,597,40
515200,1129,70,673,46,456,23
515300,1040,76,644,53,396,20
515401,1260,58,761,34,499,23
516100,812,31,443,14,369,17
516200,988,37,541,18,447,19
517000,979,91,556,45,423,42
518001,2244,173,1293,100,951,73
519000,1875,149,1008,69,867,80
520001,1821,198,1011,95,810,101
520002,1819,169,1033,103,786,64
521100,2715,217,1475,100,1240,116
521200,2269,192,1239,97,1030,94
521301,2187,221,1252,127,935,90
521302,2287,163,1267,90,1020,70
521401,1540,165,862,86,678,79
521402,2428,181,1272,82,1156,99
521500,2483,236,1334,116,1149,119
522000,1869,139,1022,68,847,62
523100,2231,199,1329,111,902,87
523200,2298,178,1324,100,974,76
523300,2252,173,1249,92,1003,81
523400,2783,250,1623,130,1160,116
523501,2517,208,1400,94,1117,113
523502,807,83,468,49,339,33
523600,2732,273,1525,142,1207,129
523701,2495,210,1382,101,1113,108
523702,3025,264,1716,141,1309,120
523800,2820,246,1557,123,1263,121
