CT,BTLPAD,BTLPAN,BTLWAD,BTLWAN,BTLMAD,BTLMAN
456003,2407,106,1282,48,1125,58
456004,2593,151,1464,89,1129,62
457100,733,53,416,29,317,24
457200,2006,156,1120,90,886,66
458000,4590,302,2482,148,2108,154
459101,1063,59,560,26,503,33
459102,3291,147,1754,72,1537,75
459201,3176,201,1678,103,1498,98
459202,363,19,223,11,140,8
460001,2715,194,1493,89,1222,105
460002,2087,160,1121,80,966,80
461000,504,42,272,21,232,21
462100,1576,86,870,44,706,42
462600,2081,106,1163,55,918,51
463900,1492,93,836,48,656,45
464300,1778,96,973,46,805,50
464400,2063,86,1203,46,860,40
465600,1354,94,746,54,608,40
465800,1929,95,1053,47,876,48
468700,884,55,481,23,403,32
468800,1104,56,615,30,489,26
468900,1964,109,1128,66,836,43
469000,2782,179,1513,84,1269,95
470300,2264,202,1293,103,971,99
470400,1758,129,978,60,780,69
470501,1434,54,795,24,639,30
470502,1767,123,977,60,790,63
470600,1520,96,834,46,686,50
471000,574,28,311,14,263,14
472100,1246,54,698,26,548,28
472200,1128,43,585,21,543,22
472300,965,42,536,17,429,25
472400,1116,68,606,27,510,41
473100,2791,114,1500,62,1291,52
473200,1831,73,1042,37,789,36
473300,3433,161,1907,86,1526,75
473401,2135,68,1113,37,1022,31
473402,1913,81,1025,43,888,38
473500,2173,53,1136,20,1037,33
473601,2266,107,1219,49,1047,58
473602,2689,148,1486,85,1203,63
474101,2435,87,1263,34,1172,53
474102,2228,89,1154,44,1074,45
474201,1556,58,813,26,743,32
474202,2943,156,1528,81,1415,75
474203,2868,113,1470,37,1398,76
475101,2766,216,1573,124,1193,92
475102,1039,67,528,28,511,39
475200,2976,183,1573,94,1403,89
475301,2674,187,1437,84,1237,103
475303,2519,167,1333,75,1186,92
475304,3119,143,1673,63,1446,80
475401,2411,159,1303,86,1108,73
475402,1888,100,1013,48,875,52
476100,2622,152,1471,81,1151,71
476200,1861,119,1000,64,861,55
