CT,BTPAD,BTPAN,BTWAD,BTWAN,BTMAD,BTMAN
456004,2593,231,1464,51,1129,30
457100,733,74,416,108,317,91
457200,2006,212,1120,185,886,196
458000,4590,396,2482,73,2108,40
459101,1063,81,560,96,503,100
459102,3291,202,1754,120,1537,129
459201,3176,264,1678,46,1498,8
459202,363,22,223,104,140,125
460001,2715,242,1493,98,1222,98
460002,2087,207,1121,55,966,26
461000,504,57,272,49,232,53
462100,1576,123,870,82,706,67
462600,2081,162,1163,79,918,61
463900,1492,133,836,78,656,66
464300,1778,137,973,57,805,57
464400,2063,128,1203,84,860,46
465600,1354,121,746,75,608,60
465800,1929,128,1053,39,876,39
468700,884,71,481,38,403,34
468800,1104,73,615,80,489,62
468900,1964,154,1128,107,836,115
469000,2782,227,1513,172,1269,124
470300,2264,278,1293,79,971,78
470400,1758,151,978,37,780,45
470501,1434,83,795,83,639,71
470502,1767,158,977,59,790,72
470600,1520,141,834,42,686,16
471000,574,39,311,30,263,35
472100,1246,67,698,31,548,30
472200,1128,66,585,23,543,35
472300,965,59,536,37,429,48
472400,1116,79,606,80,510,67
473100,2791,153,1500,59,1291,49
473200,1831,107,1042,131,789,103
473300,3433,243,1907,53,1526,42
473401,2135,89,1113,61,1022,51
473402,1913,109,1025,35,888,44
473500,2173,72,1136,90,1037,75
473601,2266,170,1219,109,1047,91
473602,2689,211,1486,56,1203,64
474101,2435,114,1263,65,1172,54
474102,2228,118,1154,39,1074,43
474201,1556,74,813,112,743,103
474202,2943,221,1528,59,1415,91
474203,2868,148,1470,146,1398,113
475101,2766,285,1573,63,1193,44
475102,1039,77,528,97,511,114
475200,2976,242,1573,125,1403,136
475301,2674,248,1437,99,1237,104
475303,2519,196,1333,93,1186,101
475304,3119,197,1673,123,1446,99
475401,2411,225,1303,71,1108,61
475402,1888,124,1013,96,875,89
476100,2622,198,1471,89,1151,75
476200,1861,165,1000,111,861,99
477100,2167,196,1189,151,978,118
477200,2707,295,1516,121,1191,123
477300,3665,233,1912,99,1753,82
478100,2328,188,1266,117,1062,93
478200,3310,194,1801,60,1509,48
479000,1179,102,655,109,524,108
480101,2949,250,1585,127,1364,73
480102,1836,173,999,82,837,94
480200,2053,182,1083,94,970,88
480300,2204,181,1201,142,1003,154
480400,2957,306,1607,69,1350,59
481000,2078,138,1140,97,938,67
482500,1156,152,621,71,535,78
483800,1734,201,1015,131,719,66
484300,1893,135,1026,148,867,153
484500,3482,333,1910,93,1572,45
484600,1181,111,675,49,506,22
485000,658,55,377,43,281,33
486700,1331,97,806,56,525,47
486800,981,100,547,48,434,24
486900,834,67,479,69,355,57
487000,976,133,545,88,431,63
488100,1817,140,949,91,868,80
488200,2282,183,1311,91,971,65
488300,1468,140,814,121,654,104
488400,2939,255,1696,90,1243,67
488500,1629,131,877,94,752,130
488600,2964,230,1681,166,1283,125
489001,2698,291,1493,88,1205,78
489002,2300,158,1204,95,1096,133
490002,2761,242,1498,89,1263,80
490003,2165,161,1121,96,1044,124
490004,3089,214,1634,117,1455,138
491101,4142,261,2207,78,1935,50
491200,1178,114,639,39,539,41
492700,1092,93,640,71,452,54
492800,1526,150,917,84,609,44
492900,1139,104,663,49,476,35
494000,822,75,462,42,360,43
495000,988,89,537,89,451,59
496101,1870,150,1014,121,856,131
496102,2624,264,1403,150,1221,148
496200,3294,296,1785,47,1509,24
497000,531,48,290,54,241,79
498000,1492,153,814,62,678,40
499300,906,93,513,71,393,79
499400,1587,182,893,108,694,82
500300,2026,172,1144,67,882,39
501000,794,96,434,186,360,149
503002,3541,395,1991,183,1550,121
504100,2669,289,1516,105,1153,49
507000,1173,108,654,45,519,32
508000,1115,87,660,137,455,117
509400,2921,281,1714,87,1207,40
510000,1171,93,654,69,517,67
512000,1180,131,654,39,526,31
512800,746,66,419,38,327,24
512900,679,70,391,56,288,45
513800,1335,126,786,74,549,31
514000,1171,90,694,65,477,51
515100,1439,110,842,55,597,30
515200,1129,76,673,48,456,31
515300,1040,91,644,61,396,33
515401,1260,70,761,19,499,21
516100,812,35,443,14,369,22
516200,988,46,541,52,447,54
517000,979,113,556,101,423,84
518001,2244,208,1293,95,951,90
519000,1875,158,1008,98,867,107
520001,1821,218,1011,116,810,76
520002,1819,198,1033,122,786,130
521100,2715,251,1475,112,1240,101
521200,2269,206,1239,124,1030,100
521301,2187,234,1252,105,935,78
521302,2287,185,1267,115,1020,88
521401,1540,183,862,77,678,98
521402,2428,181,1272,130,1156,123
521500,2483,249,1334,67,1149,73
522000,1869,148,1022,118,847,104
523100,2231,270,1329,143,902,95
523200,2298,216,1324,131,974,105
523300,2252,223,1249,143,1003,135
523400,2783,298,1623,138,1160,130
523501,2517,245,1400,74,1117,41
523502,807,96,468,149,339,147
523600,2732,332,1525,131,1207,119
523701,2495,232,1382,149,1113,154
523702,3025,313,1716,165,1309,124
523800,2820,285,1557,71,1263,61
524000,1525,119,822,61,703,37
525100,1209,73,680,72,529,48
525200,1224,138,735,91,489,48
525300,1333,131,745,95,588,80
526101,2307,187,1242,65,1065,51
526102,1183,94,607,76,576,100
526201,2263,209,1178,102,1085,108
526202,2771,208,1498,128,1273,110
526301,2421,228,1278,99,1143,102
526302,2658,196,1418,46,1240,38
550900,863,83,475,69,388,76
551200,1777,196,1041,128,736,67
551300,1431,152,798,45,633,24
551900,778,84,452,74,326,65
552000,1626,143,938,76,688,28
552100,915,83,541,43,374,25
552200,643,52,350,38,293,54
552300,1301,119,732,93,569,81
552400,1782,192,983,67,799,17
560400,569,54,334,44,235,25
560500,1127,54,635,21,492,13
560600,476,45,276,29,200,28
561000,635,60,370,37,265,20
561100,450,41,263,21,187,23
561200,591,55,339,115,252,118
561400,2227,291,1347,131,880,61
561500,1400,162,822,70,578,32
561600,1197,86,669,38,528,13
561700,424,28,236,55,188,49
561900,1159,133,708,57,451,43
562000,1020,93,543,76,477,60
562300,1719,184,1000,118,719,70
562400,1520,147,848,71,672,51
562500,1660,112,939,54,721,63
562600,1464,112,796,42,668,22
562700,729,52,397,40,332,50
562800,781,92,415,38,366,41
562900,1115,94,633,77,482,60
563000,1469,127,849,87,620,72
563100,2032,161,1066,45,966,55
563200,1006,104,541,34,465,20
563300,850,31,438,116,412,93
563800,2013,217,1089,71,924,89
563900,2179,190,1233,85,946,47
564000,1757,108,945,19,812,17
564100,595,22,311,46,284,57
564200,1080,127,591,139,489,154
564400,3299,324,1826,29,1473,17
564500,743,46,401,0,342,0
980000,0,0,0,0,0,0
980100,0,0,0,0,0,0
980700,22,0,10,0,0,0
